Fecha,ALIMENTOS Y BEBIDAS,SUMINISTROS INDUSTRIALES,COMBUSTIBLES Y LUBRICANTES,BIENES DE CAPITAL,EQUIPO DE TRANSPORTE Y SUS PIEZAS Y ACCESORIOS,ARTÍCULOS DE CONSUMO
2019-12-01,79.808489,301.672727,202.856256,171.324324,145.050638,130.90121
2020-01-01,67.219507,248.407004,58.661896,171.67314,135.388345,100.247953
2020-02-01,56.111411,199.912998,73.069863,126.424547,105.06371,82.987369
2020-03-01,52.808648,168.849272,50.155892,130.564835,69.497361,87.825709
2020-04-01,43.852828,94.592484,15.479566,77.958825,12.517626,50.809056
2020-05-01,53.272825,138.598559,3.624109,79.153861,47.990366,70.798955
2020-06-01,48.996205,168.369577,67.859209,109.399007,45.088321,83.771952
2020-07-01,57.234375,181.191843,73.116835,114.863989,66.149736,96.422232
2020-08-01,51.362546,156.011263,15.7034,114.024505,65.100227,78.702246
2020-09-01,66.092366,208.281589,94.777127,112.171744,69.116645,101.031441
2020-10-01,66.338962,210.012104,152.972147,127.060451,75.573473,95.798536
2020-11-01,58.110288,196.908271,63.674768,115.78398,83.556433,92.070931
2020-12-01,58.534213,222.598928,251.272042,114.656986,107.094326,100.543984
2021-01-01,51.671586,187.826412,140.348896,93.666451,60.209633,71.775478
2021-02-01,53.121652,199.900136,84.512974,162.462876,88.285193,86.086762
2021-03-01,65.472444,249.704147,74.279348,125.806995,82.305084,103.904331
2021-04-01,47.159002,216.037082,137.300337,122.270704,75.490739,92.081164
2021-05-01,49.451852,234.381873,121.722432,123.473574,86.761458,88.825415
